EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),
13860,2453372.50000,45861.00000,-5450.19648,2751.99497,3367.42651,-4.71772,-3.64194,-4.65320,6973.42698,0.00041,0.89855,6.27006,1.18708,1.28849,1.28927,0,355.0,-57.6,29.0,-140.0,
13880,2453372.50000,45881.00000,-5543.26209,2678.51487,3273.57603,-4.58848,-3.70578,-4.73148,6973.66899,0.00041,0.89856,6.27004,1.27497,1.22232,1.22309,0,354.0,-58.1,28.1,-139.1,
13900,2453372.50000,45901.00000,-5633.72108,2603.77527,3178.18202,-4.45707,-3.76788,-4.80754,6973.90793,0.00041,0.89858,6.27003,1.36179,1.15721,1.15796,0,353.0,-58.5,27.2,-138.2,
13920,2453372.50000,45921.00000,-5721.53073,2527.81126,3081.28935,-4.32355,-3.82822,-4.88134,6974.14335,0.00042,0.89859,6.27002,1.44719,1.09351,1.09425,0,352.0,-58.9,26.3,-137.3,
13940,2453372.50000,45941.00000,-5806.64961,2450.65847,2982.94364,-4.18800,-3.88676,-4.95284,6974.37482,0.00042,0.89860,6.27000,1.53089,1.03152,1.03225,0,350.9,-59.3,25.4,-136.4,
13960,2453372.50000,45961.00000,-5889.03751,2372.35313,2883.19117,-4.05047,-3.94347,-5.02201,6974.60192,0.00043,0.89862,6.26999,1.61266,0.97146,0.97217,0,349.8,-59.7,24.5,-135.5,
13980,2453372.50000,45981.00000,-5968.65553,2292.93200,2782.07891,-3.91102,-3.99833,-5.08882,6974.82425,0.00043,0.89863,6.26998,1.69234,0.91350,0.91419,0,348.7,-60.1,23.6,-134.7,
14000,2453372.50000,46001.00000,-6045.46606,2212.43238,2679.65447,-3.76973,-4.05132,-5.15322,6975.04140,0.00044,0.89864,6.26997,1.76983,0.85773,0.85839,0,347.6,-60.5,22.7,-133.9,
14020,2453372.50000,46021.00000,-6119.43282,2130.89206,2575.96609,-3.62666,-4.10240,-5.21521,6975.25300,0.00045,0.89865,6.26997,1.84507,0.80420,0.80485,0,346.5,-60.9,21.8,-133.1,
14040,2453372.50000,46041.00000,-6190.52085,2048.34936,2471.06261,-3.48187,-4.15155,-5.27473,6975.45866,0.00046,0.89867,6.26996,1.91807,0.75292,0.75354,0,345.4,-61.3,20.8,-132.2,
14060,2453372.50000,46061.00000,-6258.69656,1964.84305,2364.99345,-3.33543,-4.19875,-5.33177,6975.65800,0.00047,0.89868,6.26995,1.98885,0.70385,0.70445,0,344.2,-61.7,19.9,-131.5,
14080,2453372.50000,46081.00000,-6323.92772,1880.41236,2257.80860,-3.18742,-4.24398,-5.38630,6975.85066,0.00048,0.89869,6.26994,2.05749,0.65692,0.65750,0,343.0,-62.1,19.0,-130.7,
14100,2453372.50000,46101.00000,-6386.18351,1795.09698,2149.55855,-3.03791,-4.28722,-5.43828,6976.03632,0.00049,0.89870,6.26994,2.12408,0.61205,0.61261,0,341.8,-62.4,18.0,-129.9,
14120,2453372.50000,46121.00000,-6445.43448,1708.93701,2040.29433,-2.88696,-4.32844,-5.48771,6976.21462,0.00050,0.89871,6.26993,2.18872,0.56913,0.56967,0,340.6,-62.8,17.1,-129.1,
14140,2453372.50000,46141.00000,-6501.65263,1621.97295,1930.06744,-2.73464,-4.36763,-5.53455,6976.38525,0.00051,0.89872,6.26993,2.25152,0.52804,0.52855,0,339.4,-63.2,16.1,-128.4,
