EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),
0,2453372.50000,32001.00000,6971.02200,0.00000,-0.00126,0.00000,4.70963,5.92082,6977.98987,0.00100,0.89884,0.00000,0.00014,6.28304,6.28304,0,0.0,0.0,0.0,0.0,
20,2453372.50000,32021.00000,6969.37928,94.18522,118.40582,-0.16427,4.70852,5.91942,6977.98690,0.00100,0.89884,0.00000,0.03047,6.27443,6.27442,0,88.9,-42.3,1.0,125.4,
40,2453372.50000,32041.00000,6964.45190,188.32608,236.75695,-0.32845,4.70519,5.91523,6977.97251,0.00100,0.89884,0.00000,0.06082,6.26581,6.26577,0,87.8,-42.3,2.0,126.1,
60,2453372.50000,32061.00000,6956.24220,282.37821,354.99619,-0.49248,4.69965,5.90823,6977.94660,0.00099,0.89884,6.28319,0.09120,6.25716,6.25711,0,86.6,-42.4,3.0,126.8,
80,2453372.50000,32081.00000,6944.75406,376.29729,473.06767,-0.65628,4.69189,5.89845,6977.90917,0.00099,0.89884,6.28319,0.12161,6.24847,6.24840,0,85.4,-42.4,3.9,127.5,
100,2453372.50000,32101.00000,6929.99296,470.03905,590.91557,-0.81977,4.68192,5.88588,6977.86032,0.00098,0.89884,6.28318,0.15206,6.23973,6.23965,0,84.2,-42.4,4.9,128.2,
120,2453372.50000,32121.00000,6911.96589,563.55931,708.48421,-0.98287,4.66974,5.87052,6977.80019,0.00098,0.89883,6.28318,0.18258,6.23094,6.23084,0,83.0,-42.5,5.9,128.9,
140,2453372.50000,32141.00000,6890.68141,656.81401,825.71803,-1.14550,4.65536,5.85240,6977.72893,0.00097,0.89883,6.28318,0.21317,6.22207,6.22195,0,81.8,-42.5,6.9,129.6,
160,2453372.50000,32161.00000,6866.14962,749.75920,942.56162,-1.30758,4.63879,5.83150,6977.64670,0.00096,0.89882,6.28318,0.24386,6.21311,6.21297,0,80.6,-42.5,7.8,130.3,
180,2453372.50000,32181.00000,6838.38218,842.35108,1058.95980,-1.46905,4.62003,5.80786,6977.55368,0.00095,0.89882,6.28318,0.27464,6.20404,6.20389,0,79.4,-42.6,8.8,131.0,
200,2453372.50000,32201.00000,6807.39227,934.54604,1174.85756,-1.62982,4.59910,5.78146,6977.45016,0.00093,0.89881,6.28318,0.30554,6.19486,6.19470,0,78.2,-42.6,9.8,131.7,
220,2453372.50000,32221.00000,6773.19459,1026.30063,1290.20015,-1.78981,4.57600,5.75234,6977.33644,0.00092,0.89881,6.28318,0.33658,6.18555,6.18537,0,77.0,-42.6,10.8,132.4,
240,2453372.50000,32241.00000,6735.80537,1117.57165,1404.93310,-1.94896,4.55074,5.72050,6977.21284,0.00091,0.89880,6.28318,0.36776,6.17609,6.17589,0,75.8,-42.7,11.7,133.1,
260,2453372.50000,32261.00000,6695.24236,1208.31609,1519.00223,-2.10718,4.52334,5.68596,6977.07968,0.00089,0.89879,6.28317,0.39912,6.16644,6.16624,0,74.6,-42.7,12.7,133.9,
280,2453372.50000,32281.00000,6651.52480,1298.49123,1632.35366,-2.26440,4.49382,5.64874,6976.93727,0.00087,0.89878,6.28317,0.43069,6.15660,6.15637,0,73.5,-42.7,13.7,134.6,
300,2453372.50000,32301.00000,6604.67342,1388.05461,1744.93389,-2.42055,4.46217,5.60884,6976.78592,0.00085,0.89877,6.28317,0.46250,6.14651,6.14628,0,72.3,-42.8,14.6,135.3,
320,2453372.50000,32321.00000,6554.71046,1476.96406,1856.68976,-2.57555,4.42843,5.56630,6976.62594,0.00083,0.89876,6.28316,0.49458,6.13615,6.13590,0,71.1,-42.8,15.6,136.1,
340,2453372.50000,32341.00000,6501.65959,1565.17773,1967.56853,-2.72933,4.39260,5.52114,6976.45763,0.00081,0.89876,6.28316,0.52697,6.12548,6.12522,0,69.9,-42.8,16.5,136.8,
360,2453372.50000,32361.00000,6445.54598,1652.65410,2077.51787,-2.88181,4.35470,5.47336,6976.28128,0.00079,0.89874,6.28315,0.55972,6.11445,6.11418,0,68.7,-42.9,17.5,137.6,
380,2453372.50000,32381.00000,6386.39621,1739.35200,2186.48589,-3.03293,4.31475,5.42301,6976.09717,0.00077,0.89873,6.28315,0.59287,6.10301,6.10273,0,67.5,-42.9,18.4,138.4,
400,2453372.50000,32401.00000,6324.23832,1825.23063,2294.42120,-3.18261,4.27278,5.37010,6975.90559,0.00075,0.89872,6.28314,0.62650,6.09110,6.09082,0,66.3,-42.9,19.4,139.1,
420,2453372.50000,32421.00000,6259.10177,1910.24960,2401.27287,-3.33079,4.22879,5.31465,6975.70678,0.00072,0.89871,6.28313,0.66065,6.07866,6.07837,0,65.1,-43.0,20.3,139.9,
440,2453372.50000,32441.00000,6191.01741,1994.36892,2506.99051,-3.47738,4.18281,5.25670,6975.50100,0.00070,0.89870,6.28313,0.69541,6.06562,6.06532,0,63.9,-43.0,21.2,140.7,
460,2453372.50000,32461.00000,6120.01750,2077.54902,2611.52427,-3.62233,4.13487,5.19627,6975.28858,0.00067,0.89869,6.28312,0.73085,6.05190,6.05159,0,62.7,-43.1,22.2,141.5,
480,2453372.50000,32481.00000,6046.13566,2159.75078,2714.82487,-3.76556,4.08498,5.13339,6975.06991,0.00065,0.89868,6.28311,0.76706,6.03741,6.03709,0,61.5,-43.1,23.1,142.4,
500,2453372.50000,32501.00000,5969.40689,2240.93557,2816.84362,-3.90701,4.03318,5.06809,6974.84547,0.00062,0.89866,6.28310,0.80413,6.02204,6.02172,0,60.4,-43.1,24.0,143.2,
520,2453372.50000,32521.00000,5889.86752,2321.06523,2917.53245,-4.04661,3.97948,5.00040,6974.61576,0.00059,0.89865,6.28309,0.84222,6.00567,6.00535,0,59.2,-43.2,24.9,144.1,
540,2453372.50000,32541.00000,5807.55518,2400.10211,3016.84392,-4.18430,3.92390,4.93036,6974.38124,0.00056,0.89864,6.28308,0.88147,5.98813,5.98780,0,58.0,-43.2,25.8,144.9,
560,2453372.50000,32561.00000,5722.50885,2478.00908,3114.73124,-4.32000,3.86649,4.85799,6974.14235,0.00053,0.89862,6.28307,0.92211,5.96920,5.96887,0,56.8,-43.2,26.7,145.8,
580,2453372.50000,32581.00000,5634.76875,2554.74954,3211.14833,-4.45366,3.80726,4.78334,6973.89951,0.00051,0.89861,6.28305,0.96438,5.94865,5.94832,0,55.6,-43.3,27.6,146.7,
600,2453372.50000,32601.00000,5544.37641,2630.28747,3306.04978,-4.58522,3.74624,4.70643,6973.65322,0.00048,0.89860,6.28304,1.00858,5.92615,5.92582,0,54.4,-43.3,28.5,147.6,
620,2453372.50000,32621.00000,5451.37456,2704.58740,3399.39093,-4.71460,3.68346,4.62731,6973.40398,0.00045,0.89858,6.28303,1.05511,5.90133,5.90100,0,53.2,-43.4,29.4,148.5,
640,2453372.50000,32641.00000,5355.80719,2777.61446,3491.12785,-4.84176,3.61896,4.54602,6973.15233,0.00042,0.89857,6.28301,1.10447,5.87369,5.87336,0,52.0,-43.4,30.2,149.5,
660,2453372.50000,32661.00000,5257.71948,2849.33438,3581.21738,-4.96663,3.55275,4.46258,6972.89880,0.00039,0.89855,6.28300,1.15729,5.84257,5.84224,0,50.8,-43.5,31.1,150.4,
680,2453372.50000,32681.00000,5157.15777,2919.71353,3669.61716,-5.08915,3.48489,4.37705,6972.64392,0.00035,0.89854,6.28298,1.21446,5.80711,5.80679,0,49.6,-43.5,31.9,151.4,
700,2453372.50000,32701.00000,5054.16959,2988.71890,3756.28561,-5.20926,3.41538,4.28946,6972.38819,0.00032,0.89853,6.28296,1.27712,5.76616,5.76583,0,48.4,-43.5,32.8,152.4,
720,2453372.50000,32721.00000,4948.80359,3056.31812,3841.18200,-5.32692,3.34428,4.19985,6972.13211,0.00029,0.89851,6.28295,1.34687,5.71812,5.71780,0,47.3,-43.6,33.6,153.4,
740,2453372.50000,32741.00000,4841.10952,3122.47953,3924.26641,-5.44206,3.27160,4.10827,6971.87619,0.00027,0.89850,6.28293,1.42587,5.66082,5.66051,0,46.1,-43.6,34.5,154.5,
760,2453372.50000,32761.00000,4731.13824,3187.17210,4005.49982,-5.55463,3.19740,4.01476,6971.62091,0.00024,0.89848,6.28291,1.51722,5.59118,5.59088,0,44.9,-43.7,35.3,155.5,
780,2453372.50000,32781.00000,4618.94165,3250.36554,4084.84406,-5.66458,3.12170,3.91936,6971.36676,0.00021,0.89847,6.28289,1.62520,5.50490,5.50461,0,43.7,-43.7,36.1,156.6,
800,2453372.50000,32801.00000,4504.57271,3312.03023,4162.26187,-5.77186,3.04453,3.82212,6971.11423,0.00018,0.89845,6.28287,1.75579,5.39601,5.39573,0,42.5,-43.8,36.9,157.7,
820,2453372.50000,32821.00000,4388.08537,3372.13732,4237.71691,-5.87642,2.96594,3.72309,6970.86378,0.00016,0.89844,6.28284,1.91678,5.25672,5.25645,0,41.3,-43.8,37.6,158.8,
840,2453372.50000,32841.00000,4269.53458,3430.65865,4311.17375,-5.97820,2.88596,3.62231,6970.61591,0.00014,0.89843,6.28282,2.11668,5.07853,5.07826,0,40.1,-43.9,38.4,160.0,
860,2453372.50000,32861.00000,4148.97625,3487.56684,4382.59792,-6.07716,2.80463,3.51983,6970.37106,0.00013,0.89841,6.28280,2.36017,4.85673,4.85648,0,38.9,-43.9,39.2,161.2,
880,2453372.50000,32881.00000,4026.46721,3542.83526,4451.95591,-6.17326,2.72199,3.41570,6970.12969,0.00012,0.89840,6.28277,2.63921,4.59940,4.59916,0,37.7,-44.0,39.9,162.4,
900,2453372.50000,32901.00000,3902.06522,3596.43805,4519.21520,-6.26645,2.63808,3.30997,6969.89226,0.00012,0.89839,6.28275,2.92761,4.33270,4.33248,0,36.5,-44.0,40.6,163.6,
920,2453372.50000,32921.00000,3775.82889,3648.35015,4584.34423,-6.35669,2.55293,3.20268,6969.65920,0.00013,0.89837,6.28272,3.19325,4.08876,4.08855,0,35.4,-44.1,41.3,164.9,
940,2453372.50000,32941.00000,3647.81771,3698.54727,4647.31248,-6.44393,2.46659,3.09390,6969.43096,0.00015,0.89836,6.28270,3.41773,3.88598,3.88578,0,34.2,-44.1,42.0,166.2,
960,2453372.50000,32961.00000,3518.09197,3747.00597,4708.09043,-6.52814,2.37909,2.98366,6969.20796,0.00016,0.89835,6.28267,3.59989,3.72552,3.72534,0,33.0,-44.2,42.7,167.5,
980,2453372.50000,32981.00000,3386.71277,3793.70359,4766.64960,-6.60927,2.29049,2.87203,6968.99064,0.00019,0.89833,6.28264,3.74699,3.60012,3.59995,0,31.8,-44.2,43.3,168.9,
1000,2453372.50000,33001.00000,3253.74196,3838.61831,4822.96256,-6.68729,2.20081,2.75905,6968.77941,0.00021,0.89832,6.28262,3.86750,3.50130,3.50115,0,30.6,-44.3,44.0,170.3,
1020,2453372.50000,33021.00000,3119.24215,3881.72915,4877.00293,-6.76216,2.11011,2.64478,6968.57468,0.00023,0.89831,6.28259,3.96844,3.42206,3.42193,0,29.4,-44.3,44.6,171.7,
1040,2453372.50000,33041.00000,2983.27663,3923.01598,4928.74541,-6.83386,2.01842,2.52927,6968.37679,0.00026,0.89830,6.28256,4.05499,3.35720,3.35710,0,28.2,-44.4,45.2,173.1,
1060,2453372.50000,33061.00000,2845.90938,3962.45953,4978.16576,-6.90233,1.92578,2.41257,6968.18611,0.00028,0.89829,6.28253,4.13085,3.30304,3.30295,0,27.0,-44.4,45.8,174.6,
1080,2453372.50000,33081.00000,2707.20504,4000.04137,5025.24087,-6.96756,1.83225,2.29475,6968.00293,0.00030,0.89828,6.28250,4.19867,3.25691,3.25684,0,25.8,-44.5,46.3,176.1,
1100,2453372.50000,33101.00000,2567.22884,4035.74398,5069.94869,-7.02951,1.73787,2.17586,6967.82757,0.00033,0.89827,6.28246,4.26035,3.21693,3.21688,0,24.6,-44.5,46.9,177.7,
1120,2453372.50000,33121.00000,2426.04662,4069.55069,5112.26832,-7.08816,1.64267,2.05594,6967.66032,0.00035,0.89826,6.28243,4.31726,3.18171,3.18168,0,23.5,-44.6,47.4,179.3,
1140,2453372.50000,33141.00000,2283.72477,4101.44574,5152.17995,-7.14347,1.54671,1.93507,6967.50150,0.00037,0.89825,6.28240,4.37043,3.15023,3.15023,0,22.3,-44.6,47.9,-179.1,
1160,2453372.50000,33161.00000,2140.33019,4131.41424,5189.66492,-7.19543,1.45003,1.81329,6967.35139,0.00039,0.89824,6.28237,4.42064,3.12172,3.12174,0,21.1,-44.7,48.3,-177.5,
1180,2453372.50000,33181.00000,1995.93031,4159.44223,5224.70572,-7.24400,1.35267,1.69066,6967.21027,0.00041,0.89823,6.28233,4.46846,3.09559,3.09563,0,19.9,-44.8,48.7,-175.8,
1200,2453372.50000,33201.00000,1850.59298,4185.51664,5257.28595,-7.28917,1.25467,1.56724,6967.07838,0.00043,0.89823,6.28230,4.51436,3.07138,3.07145,0,18.7,-44.8,49.1,-174.1,
1220,2453372.50000,33221.00000,1704.38652,4209.62532,5287.39039,-7.33091,1.15610,1.44309,6966.95594,0.00045,0.89822,6.28227,4.55869,3.04875,3.04883,0,17.5,-44.9,49.5,-172.4,
1240,2453372.50000,33241.00000,1557.37962,4231.75704,5315.00499,-7.36921,1.05699,1.31826,6966.84314,0.00047,0.89821,6.28223,4.60173,3.02740,3.02750,0,16.3,-44.9,49.9,-170.6,
1260,2453372.50000,33261.00000,1409.64135,4251.90149,5340.11684,-7.40404,0.95738,1.19282,6966.74010,0.00049,0.89821,6.28220,4.64373,3.00709,3.00722,0,15.1,-45.0,50.2,-168.9,
1280,2453372.50000,33281.00000,1261.24111,4270.04927,5362.71423,-7.43540,0.85733,1.06683,6966.64696,0.00051,0.89820,6.28216,4.68486,2.98765,2.98781,0,13.9,-45.0,50.5,-167.1,
1300,2453372.50000,33301.00000,1112.24863,4286.19196,5382.78660,-7.46327,0.75688,0.94033,6966.56381,0.00052,0.89820,6.28213,4.72530,2.96891,2.96909,0,12.7,-45.1,50.7,-165.2,
1320,2453372.50000,33321.00000,962.73388,4300.32203,5400.32459,-7.48762,0.65607,0.81340,6966.49076,0.00054,0.89819,6.28209,4.76518,2.95072,2.95092,0,11.6,-45.2,51.0,-163.4,
1340,2453372.50000,33341.00000,812.76708,4312.43291,5415.32003,-7.50847,0.55497,0.68609,6966.42790,0.00055,0.89819,6.28205,4.80462,2.93297,2.93320,0,10.4,-45.2,51.2,-161.5,
1360,2453372.50000,33361.00000,662.41867,4322.51897,5427.76593,-7.52578,0.45360,0.55845,6966.37531,0.00056,0.89818,6.28202,4.84372,2.91556,2.91581,0,9.2,-45.3,51.3,-159.6,
1380,2453372.50000,33381.00000,511.75924,4330.57553,5437.65650,-7.53957,0.35202,0.43056,6966.33308,0.00057,0.89818,6.28198,4.88259,2.89838,2.89866,0,8.0,-45.3,51.4,-157.8,
1400,2453372.50000,33401.00000,360.85956,4336.59885,5444.98714,-7.54981,0.25028,0.30247,6966.30129,0.00058,0.89818,6.28195,4.92130,2.88136,2.88166,0,6.8,-45.4,51.5,-155.9,
1420,2453372.50000,33421.00000,209.79046,4340.58615,5449.75446,-7.55651,0.14843,0.17424,6966.27999,0.00059,0.89818,6.28191,4.95993,2.86442,2.86475,0,5.6,-45.5,51.6,-154.0,
1440,2453372.50000,33441.00000,58.62288,4342.53558,5451.95625,-7.55966,0.04651,0.04593,6966.26924,0.00060,0.89818,6.28187,4.99855,2.84749,2.84784,0,4.4,-45.5,51.6,-152.0,
1460,2453372.50000,33461.00000,-92.57220,4342.44626,5451.59153,-7.55926,-0.05544,-0.08240,6966.26907,0.00061,0.89818,6.28184,5.03722,2.83051,2.83088,0,3.2,-45.6,51.6,-150.1,
1480,2453372.50000,33481.00000,-243.72380,4340.31827,5448.66049,-7.55531,-0.15735,-0.21069,6966.27950,0.00062,0.89818,6.28180,5.07602,2.81340,2.81380,0,2.0,-45.7,51.6,-148.2,
1500,2453372.50000,33501.00000,-394.76095,4336.15260,5443.16454,-7.54781,-0.25920,-0.33888,6966.30054,0.00062,0.89818,6.28176,5.11500,2.79612,2.79654,0,0.8,-45.7,51.5,-146.3,
1520,2453372.50000,33521.00000,-545.61275,4329.95124,5435.10628,-7.53678,-0.36092,-0.46691,6966.33221,0.00063,0.89818,6.28173,5.15421,2.77859,2.77903,0,359.6,-45.8,51.4,-144.4,
1540,2453372.50000,33541.00000,-696.20838,4321.71710,5424.48952,-7.52220,-0.46247,-0.59472,6966.37450,0.00063,0.89819,6.28169,5.19373,2.76076,2.76123,0,358.5,-45.8,51.3,-142.5,
1560,2453372.50000,33561.00000,-846.47713,4311.45405,5411.31924,-7.50409,-0.56380,-0.72225,6966.42740,0.00063,0.89819,6.28166,5.23362,2.74257,2.74306,0,357.3,-45.9,51.1,-140.7,
1580,2453372.50000,33581.00000,-996.34846,4299.16690,5395.60166,-7.48246,-0.66487,-0.84944,6966.49091,0.00063,0.89819,6.28162,5.27392,2.72395,2.72446,0,356.1,-46.0,50.9,-138.8,
1600,2453372.50000,33601.00000,-1145.75200,4284.86140,5377.34414,-7.45731,-0.76563,-0.97624,6966.56497,0.00063,0.89820,6.28158,5.31471,2.70486,2.70539,0,354.9,-46.0,50.7,-137.0,
1620,2453372.50000,33621.00000,-1294.61763,4268.54426,5356.55526,-7.42867,-0.86602,-1.10257,6966.64952,0.00063,0.89820,6.28155,5.35604,2.68522,2.68577,0,353.7,-46.1,50.4,-135.1,
1640,2453372.50000,33641.00000,-1442.87543,4250.22311,5333.24478,-7.39653,-0.96602,-1.22839,6966.74444,0.00063,0.89821,6.28151,5.39797,2.66498,2.66555,0,352.5,-46.1,50.1,-133.4,
1660,2453372.50000,33661.00000,-1590.45580,4229.90652,5307.42363,-7.36093,-1.06556,-1.35363,6966.84960,0.00063,0.89821,6.28148,5.44057,2.64407,2.64467,0,351.3,-46.2,49.8,-131.6,
1680,2453372.50000,33681.00000,-1737.28944,4207.60399,5279.10392,-7.32186,-1.16460,-1.47823,6966.96480,0.00062,0.89822,6.28144,5.48390,2.62244,2.62305,0,350.1,-46.3,49.4,-129.8,
1700,2453372.50000,33701.00000,-1883.30740,4183.32596,5248.29892,-7.27936,-1.26310,-1.60215,6967.08984,0.00062,0.89823,6.28141,5.52802,2.60000,2.60064,0,348.9,-46.3,49.0,-128.1,
1720,2453372.50000,33721.00000,-2028.44111,4157.08376,5215.02308,-7.23344,-1.36101,-1.72531,6967.22447,0.00061,0.89824,6.28138,5.57302,2.57670,2.57735,0,347.7,-46.4,48.6,-126.4,
1740,2453372.50000,33741.00000,-2172.62239,4128.88968,5179.29199,-7.18412,-1.45829,-1.84766,6967.36846,0.00061,0.89824,6.28134,5.61896,2.55244,2.55312,0,346.5,-46.4,48.2,-124.8,
1760,2453372.50000,33761.00000,-2315.78353,4098.75689,5141.12239,-7.13143,-1.55488,-1.96915,6967.52151,0.00060,0.89825,6.28131,5.66595,2.52715,2.52784,0,345.3,-46.5,47.7,-123.1,
1780,2453372.50000,33781.00000,-2457.85726,4066.69947,5100.53217,-7.07539,-1.65074,-2.08971,6967.68334,0.00059,0.89826,6.28128,5.71406,2.50074,2.50144,0,344.1,-46.6,47.2,-121.5,
1800,2453372.50000,33801.00000,-2598.77684,4032.73241,5057.54037,-7.01602,-1.74583,-2.20930,6967.85359,0.00058,0.89827,6.28125,5.76338,2.47311,2.47383,0,342.9,-46.6,46.7,-120.0,
1820,2453372.50000,33821.00000,-2738.47606,3996.87158,5012.16712,-6.95335,-1.84011,-2.32785,6968.03190,0.00057,0.89828,6.28122,5.81402,2.44417,2.44490,0,341.7,-46.7,46.1,-118.4,
1840,2453372.50000,33841.00000,-2876.88925,3959.13376,4964.43369,-6.88742,-1.93353,-2.44531,6968.21786,0.00056,0.89829,6.28119,5.86607,2.41381,2.41456,0,340.5,-46.7,45.6,-116.9,
1860,2453372.50000,33861.00000,-3013.95135,3919.53658,4914.36245,-6.81825,-2.02604,-2.56162,6968.41105,0.00055,0.89830,6.28116,5.91963,2.38195,2.38271,0,339.3,-46.8,45.0,-115.5,
1880,2453372.50000,33881.00000,-3149.59794,3878.09855,4861.97688,-6.74588,-2.11760,-2.67673,6968.61100,0.00054,0.89831,6.28113,5.97482,2.34846,2.34923,0,338.1,-46.9,44.4,-114.0,
1900,2453372.50000,33901.00000,-3283.76524,3834.83906,4807.30154,-6.67033,-2.20818,-2.79059,6968.81725,0.00053,0.89833,6.28110,6.03174,2.31323,2.31401,0,336.9,-46.9,43.8,-112.6,
1920,2453372.50000,33921.00000,-3416.39014,3789.77832,4750.36206,-6.59164,-2.29772,-2.90314,6969.02935,0.00052,0.89834,6.28107,6.09052,2.27615,2.27694,0,335.7,-47.0,43.1,-111.3,
1940,2453372.50000,33941.00000,-3547.41028,3742.93742,4691.18515,-6.50986,-2.38619,-3.01432,6969.24688,0.00051,0.89835,6.28104,6.15128,2.23709,2.23788,0,334.5,-47.0,42.5,-109.9,
1960,2453372.50000,33961.00000,-3676.76402,3694.33828,4629.79857,-6.42501,-2.47354,-3.12410,6969.46945,0.00050,0.89836,6.28102,6.21416,2.19591,2.19672,0,333.3,-47.1,41.8,-108.6,
1980,2453372.50000,33981.00000,-3804.39049,3644.00361,4566.23111,-6.33714,-2.55973,-3.23240,6969.69665,0.00049,0.89838,6.28099,6.27926,2.15250,2.15331,0,332.1,-47.1,41.1,-107.3,
2000,2453372.50000,34001.00000,-3930.22966,3591.95700,4500.51261,-6.24628,-2.64473,-3.33919,6969.92805,0.00047,0.89839,6.28096,0.06353,2.10675,2.10757,0,330.9,-47.2,40.4,-106.0,
2020,2453372.50000,34021.00000,-4054.22228,3538.22278,4432.67389,-6.15249,-2.72848,-3.44441,6970.16325,0.00046,0.89840,6.28094,0.13341,2.05857,2.05939,0,329.7,-47.2,39.6,-104.8,
2040,2453372.50000,34041.00000,-4176.31000,3482.82612,4362.74680,-6.05580,-2.81097,-3.54802,6970.40187,0.00045,0.89842,6.28092,0.20581,2.00787,2.00869,0,328.5,-47.3,38.9,-103.6,
2060,2453372.50000,34061.00000,-4296.43534,3425.79294,4290.76416,-5.95626,-2.89213,-3.64996,6970.64355,0.00044,0.89843,6.28089,0.28078,1.95461,1.95543,0,327.3,-47.3,38.1,-102.4,
2080,2453372.50000,34081.00000,-4414.54174,3367.14997,4216.75978,-5.85392,-2.97194,-3.75019,6970.88795,0.00044,0.89844,6.28087,0.35832,1.89877,1.89960,0,326.1,-47.4,37.4,-101.3,
2100,2453372.50000,34101.00000,-4530.57357,3306.92465,4140.76839,-5.74881,-3.05036,-3.84865,6971.13470,0.00043,0.89846,6.28085,0.43839,1.84040,1.84122,0,324.9,-47.4,36.6,-100.2,
2120,2453372.50000,34121.00000,-4644.47618,3245.14520,4062.82569,-5.64100,-3.12735,-3.94531,6971.38342,0.00042,0.89847,6.28083,0.52089,1.77960,1.78043,0,323.7,-47.5,35.8,-99.1,
2140,2453372.50000,34141.00000,-4756.19590,3181.84056,3982.96829,-5.53053,-3.20287,-4.04012,6971.63365,0.00041,0.89849,6.28081,0.60562,1.71658,1.71740,0,322.5,-47.5,35.0,-98.0,
2160,2453372.50000,34161.00000,-4865.68009,3117.04038,3901.23370,-5.41746,-3.27689,-4.13302,6971.88492,0.00041,0.89850,6.28079,0.69232,1.65159,1.65241,0,321.3,-47.6,34.2,-96.9,
2180,2453372.50000,34181.00000,-4972.87715,3050.77504,3817.66032,-5.30183,-3.34938,-4.22399,6972.13669,0.00041,0.89852,6.28077,0.78062,1.58499,1.58581,0,320.1,-47.6,33.3,-95.9,
2200,2453372.50000,34201.00000,-5077.73655,2983.07558,3732.28743,-5.18370,-3.42030,-4.31297,6972.38845,0.00040,0.89853,6.28075,0.87011,1.51721,1.51801,0,318.9,-47.7,32.5,-94.9,
2220,2453372.50000,34221.00000,-5180.20883,2913.97374,3645.15516,-5.06313,-3.48961,-4.39992,6972.63969,0.00040,0.89854,6.28074,0.96034,1.44869,1.44949,0,317.7,-47.7,31.7,-93.9,
2240,2453372.50000,34241.00000,-5280.24566,2843.50192,3556.30447,-4.94016,-3.55729,-4.48480,6972.88992,0.00040,0.89856,6.28072,1.05081,1.37992,1.38071,0,316.5,-47.8,30.8,-92.9,
2260,2453372.50000,34261.00000,-5377.79987,2771.69316,3465.77714,-4.81487,-3.62330,-4.56758,6973.13866,0.00040,0.89857,6.28070,1.14105,1.31139,1.31217,0,315.3,-47.8,29.9,-92.0,
2280,2453372.50000,34281.00000,-5472.82542,2698.58115,3373.61574,-4.68731,-3.68761,-4.64820,6973.38547,0.00041,0.89859,6.28069,1.23058,1.24357,1.24433,0,314.1,-47.8,29.1,-91.0,
2300,2453372.50000,34301.00000,-5565.27747,2624.20018,3279.86362,-4.55753,-3.75019,-4.72664,6973.62991,0.00041,0.89860,6.28068,1.31899,1.17687,1.17763,0,312.9,-47.9,28.2,-90.1,
2320,2453372.50000,34321.00000,-5655.11238,2548.58516,3184.56489,-4.42561,-3.81101,-4.80286,6973.87156,0.00041,0.89861,6.28066,1.40589,1.11168,1.11242,0,311.7,-47.9,27.3,-89.2,
2340,2453372.50000,34341.00000,-5742.28775,2471.77156,3087.76439,-4.29159,-3.87005,-4.87681,6974.11000,0.00042,0.89863,6.28065,1.49098,1.04830,1.04903,0,310.4,-47.9,26.4,-88.3,
2360,2453372.50000,34361.00000,-5826.76240,2393.79544,2989.50768,-4.15554,-3.92726,-4.94847,6974.34476,0.00043,0.89864,6.28064,1.57401,0.98698,0.98770,0,309.2,-48.0,25.5,-87.5,
2380,2453372.50000,34381.00000,-5908.49645,2314.69341,2889.84100,-4.01754,-3.98263,-5.01780,6974.57534,0.00044,0.89866,6.28063,1.65479,0.92791,0.92861,0,308.0,-48.0,24.6,-86.6,
2400,2453372.50000,34401.00000,-5987.45128,2234.50262,2788.81127,-3.87763,-4.03613,-5.08477,6974.80124,0.00044,0.89867,6.28062,1.73321,0.87121,0.87189,0,306.8,-48.0,23.7,-85.8,
2420,2453372.50000,34421.00000,-6063.58959,2153.26071,2686.46607,-3.73590,-4.08774,-5.14935,6975.02195,0.00045,0.89868,6.28061,1.80919,0.81694,0.81761,0,305.6,-48.1,22.8,-84.9,
2440,2453372.50000,34441.00000,-6136.87539,2071.00585,2582.85360,-3.59239,-4.13742,-5.21149,6975.23705,0.00046,0.89869,6.28060,1.88274,0.76511,0.76575,0,304.4,-48.1,21.8,-84.1,
2460,2453372.50000,34461.00000,-6207.27406,1987.77669,2478.02265,-3.44719,-4.18517,-5.27119,6975.44614,0.00047,0.89871,6.28059,1.95391,0.71566,0.71628,0,303.2,-48.1,20.9,-83.3,
2480,2453372.50000,34481.00000,-6274.75230,1903.61232,2372.02263,-3.30036,-4.23094,-5.32840,6975.64884,0.00048,0.89872,6.28058,2.02278,0.66850,0.66910,0,302.0,-48.1,20.0,-82.5,
2500,2453372.50000,34501.00000,-6339.27823,1818.55231,2264.90346,-3.15197,-4.27473,-5.38310,6975.84476,0.00049,0.89873,6.28058,2.08946,0.62354,0.62411,0,300.8,-48.2,19.0,-81.7,
2520,2453372.50000,34521.00000,-6400.82131,1732.63664,2156.71564,-3.00209,-4.31650,-5.43526,6976.03351,0.00050,0.89874,6.28057,2.15406,0.58065,0.58120,0,299.5,-48.2,18.1,-81.0,
2540,2453372.50000,34541.00000,-6459.35245,1645.90568,2047.51016,-2.85079,-4.35625,-5.48486,6976.21468,0.00052,0.89875,6.28057,2.21671,0.53971,0.54024,0,298.3,-48.2,17.1,-80.2,
2560,2453372.50000,34561.00000,-6514.84395,1558.40023,1937.33849,-2.69814,-4.39395,-5.53187,6976.38789,0.00053,0.89876,6.28056,2.27754,0.50061,0.50111,0,297.1,-48.2,16.2,-79.4,
